ano,local,autor,titulo,link
2017,Seattle,Scott Nasello,Columbia's DevOps journey within a Microsoft Enterprise,https://devopsdays.org/events/2017-seattle/program/scott-nasello
2017,Seattle,Suzie Prince,Continuous Integration: a bittersweet love story.,https://devopsdays.org/events/2017-seattle/program/suzie-prince
2017,Seattle,Aaron Aldrich,Managing Fires: Leadership through Crisis,https://devopsdays.org/events/2017-seattle/program/aaron-aldrich
2017,Seattle,Elizabeth Joseph,Day 2 operations of cloud-native systems,https://devopsdays.org/events/2017-seattle/program/elizabeth-joseph
2017,Seattle,Jez Humble,Continuous Delivery Sounds Great But It Won’t Work Here,https://devopsdays.org/events/2017-seattle/program/jez-humble
2017,Seattle,"Sarah Shewell, Suzanne Nielsen",From Waterfall to River – A story of transitioning to flow,https://devopsdays.org/events/2017-seattle/program/sarah-shewell-suzanne-nielsen
2017,Seattle,Jeffery Smith,How to elevate your contributions as an Ops Engineer,https://devopsdays.org/events/2017-seattle/program/jeffery-smith
2017,Seattle,Julia Wester,Taming the chaos: After the quick wins,https://devopsdays.org/events/2017-seattle/program/julia-wester
2017,Seattle,Terrence Ryan,Driving Technical Change,https://devopsdays.org/events/2017-seattle/program/terrance-ryan
2017,Seattle,Chris Van Tuin,A Security State of Mind: Compliance and Vulnerability Audits for Containers,https://devopsdays.org/events/2017-seattle/program/chris-van-tuin
2017,Zürich,Hannah Foxwell,Tech is easy. Humans are hard.,https://devopsdays.org/events/2017-zurich/program/hannah-foxwell
2017,Zürich,Thomas Philipona,"What Devs Should Consider, When Coding Applications",https://devopsdays.org/events/2017-zurich/program/thomas-philipona
2017,Zürich,Alvaro Videla,What We Talk About When We Talk About Distributed Systems,https://devopsdays.org/events/2017-zurich/program/alvaro-videla
2017,Zürich,Suzie Prince,Our Continuous Delivery Journey,https://devopsdays.org/events/2017-zurich/program/suzie-prince
2017,Zürich,Emanuel Kleindienst,Hacking Your Boss for DevOps - How to Convince Your Manager to Support DevOps,https://devopsdays.org/events/2017-zurich/program/emanuel-kleindienst
2017,Zürich,Charity Majors,A Young Lady’s Illustrated Primer to Technical Decison-Making,https://devopsdays.org/events/2017-zurich/program/charity-majors
2017,Zürich,Jorge Salamero Sanz,You’re Monitoring Containers Wrong,https://devopsdays.org/events/2017-zurich/program/jorge-salamero-sanz
2017,Zürich,Tharmes Siva,Continuous Performance Delivery: Find and Fix the Things That Matter,https://devopsdays.org/events/2017-zurich/program/tharmes-siva
2017,Zürich,Chris Van Tuin,A Security State of Mind: Compliance and Vulnerability Audits for Containers,https://devopsdays.org/events/2017-zurich/program/chris-van-tuin
