ano,local,autor,titulo,link
2009,Ghent - Belgica,Rachel Davies,"Non-Functional Requirements: do user stories really help?",https://legacy.devopsdays.org/events/2009-ghent/program
2009,Ghent - Belgica,Teyo Tyree,"Building Agile Infrastructures with Puppet",https://legacy.devopsdays.org/events/2009-ghent/program
2009,Ghent - Belgica,Chris Read,"Continuous Integration, Pipelines and Deployment",https://legacy.devopsdays.org/events/2009-ghent/program
2009,Ghent - Belgica,Lindsay Holmwood,"Cucumber-nagios",https://legacy.devopsdays.org/events/2009-ghent/program
2009,Ghent - Belgica,Mattias Skarin,"Introducing Kanban in operations",https://legacy.devopsdays.org/events/2009-ghent/program
2009,Ghent - Belgica,Matthias Rechenburg,"A private openQRM Cloud use-case for a developer team … not only for sysadmins",https://legacy.devopsdays.org/events/2009-ghent/program
