Ano,Evento,Link,haveSite,haveProgram,haveVideo,haveSlide,considered
2019,Amsterdam - Holanda,https://devopsdays.org/events/2019-amsterdam/program,True,True,False,False,True
2019,Washington DC - Estados Unidos,https://devopsdays.org/events/2019-washington-dc/program,True,True,True,True,True
2019,Indianapolis - Indiana - Estados Unidos,https://devopsdays.org/events/2019-indianapolis/program,True,True,False,False,True
2019,Florianopolis - Santa Catarina - Brasil,https://devopsdays.org/events/2019-florianopolis/program,True,True,False,False,True
2019,Goiania - Goiás - Brasil,https://devopsdays.org/events/2019-goiania/programacao,True,True,False,False,True
2019,Minneapolis - Minnesota - Estados Unidos,https://devopsdays.org/events/2019-minneapolis/program,True,True,True,True,True
2019,Dallas - Estados Unidos,https://devopsdays.org/events/2019-dallas/program,True,True,True,False,True
2019,Montevideo - Uruguai,https://devopsdays.org/events/2019-montevideo/program,True,True,False,False,True
2019,Chicago - Illinois - Estados Unidos,https://devopsdays.org/events/2019-chicago/program,True,True,True,True,True
2019,Cape Town - África do Sul,https://devopsdays.org/events/2019-cape-town/program,True,True,True,True,True
2019,Portland - Oregon - Estados Unidos,https://devopsdays.org/events/2019-portland/program,True,True,False,False,True
2019,Bengaluru,https://devopsdays.org/events/2019-bengaluru/welcome/,True,False,False,False,False
2019,Feira de Santana - Bahia - Brasil,https://devopsdays.org/events/2019-feira-de-santana/welcome/,True,False,False,False,False
2019,Stockholm - Suécia,https://devopsdays.org/events/2019-stockholm/program,True,True,False,True,True
2019,Columbus - Ohio - Estados Unidos,https://devopsdays.org/events/2019-columbus/program,True,True,False,False,True
2019,Cairo - Egito,https://devopsdays.org/events/2019-cairo/welcome/,True,True,False,False,True
2019,Istanbul,https://devopsdays.org/events/2019-istanbul/welcome/,True,False,False,False,False
2019,Boston - Estados Unidos,https://devopsdays.org/events/2019-boston/program,True,True,False,False,True
2019,Buffalo - Nova Iorque - Estados Unidos,https://devopsdays.org/events/2019-buffalo/program,True,True,False,False,True
2019,Londres - Inglaterra,https://devopsdays.org/events/2019-london/program,True,True,True,False,True
2019,Belo Horizonte - Minas Gerais - Brasil,https://devopsdays.org/events/2019-belo-horizonte/program,True,True,False,False,True
2019,Fortaleza - Ceará - Brasil,https://devopsdays.org/events/2019-fortaleza/program,True,True,False,False,True
2019,Raleigh - Carolina do Norte - Estados Unidos,https://devopsdays.org/events/2019-raleigh/program,True,True,False,False,True
2019,Hartford - Connecticut - Estados Unidos,https://devopsdays.org/events/2019-hartford/program,True,True,False,False,True
2019,Salvador - Bahia - Brasil,https://devopsdays.org/events/2019-salvador/program,True,True,False,False,True
2019,Sydney - Austrália,https://devopsdays.org/events/2019-sydney/welcome/,True,True,False,False,True
2019,Taipei,https://devopsdays.org/events/2019-taipei/welcome/,True,False,False,False,False
2019,Edimburgo - Escócia,https://devopsdays.org/events/2019-edinburgh/program,True,True,False,False,True
2019,Paris - França,https://devopsdays.org/events/2019-paris/welcome/,True,False,False,False,False
2019,Auckland - Ilha Norte - Nova Zelândia,https://devopsdays.org/events/2019-auckland/program,True,True,False,False,True
2019,Philadelphia - Pensilvânia - Estados Unidos,https://devopsdays.org/events/2019-philadelphia/program,True,True,False,False,True
2019,Oslo - Noruega,https://devopsdays.org/events/2019-oslo/program,True,True,False,False,True
2019,Detroit - Estados Unidos,https://devopsdays.org/events/2019-detroit/program,True,True,False,False,True
2019,Kansas City - Missouri - Estados Unidos,https://devopsdays.org/events/2019-kansas-city/program,True,True,False,False,True
2019,Campinas - São Paulo - Brasil,https://devopsdays.org/events/2019-campinas/program,True,True,False,False,True
2019,Ghent - Bélgica,https://devopsdays.org/events/2019-ghent/program,True,True,False,False,True
2019,Montreal - Quebec - Canadá,https://devopsdays.org/events/2019-montreal/program/,True,True,False,False,True
2019,Chattanooga - Tennessee - Estados Unidos,https://devopsdays.org/events/2019-chattanooga/program,True,True,False,False,True
2019,Macapá,https://devopsdays.org/events/2019-macapa/welcome/,True,False,False,False,False
2019,Galway - Irlanda,https://devopsdays.org/events/2019-galway/program,True,True,False,True,True
2019,Baku,https://devopsdays.org/events/2019-baku/welcome/,True,False,False,False,False
2019,Warsaw,https://devopsdays.org/events/2019-warsaw/welcome/,True,False,False,False,False
2019,Berlin - Alemanha,https://devopsdays.org/events/2019-berlin/program,True,True,False,True,True
2019,Moscow - Rússia,https://devopsdays.org/events/2019-moscow/program,True,True,False,False,True
2019,Shanghai,https://devopsdays.org/events/2019-shanghai/welcome/,True,False,False,False,False
2019,Belém - Pará - Brasil,https://devopsdays.org/events/2019-belem/programa,True,True,False,False,True
2019,Recife - Pernambuco - Brasil,https://devopsdays.org/events/2019-recife/program,True,True,False,False,True
2019,Tel Aviv - Israel,https://devopsdays.org/events/2019-tel-aviv/program,True,True,False,False,True
2020,Vitoria - Espírito Santo - Brasil,https://devopsdays.org/events/2020-vitoria/program,True,True,False,False,True
2020,guadalajara - México,https://devopsdays.org/events/2020-guadalajara/program,True,True,False,False,True
2020,Madrid - Espanha,https://devopsdays.org/events/2020-madrid/program,True,True,False,False,True
2020,Geneva - Suíça,https://devopsdays.org/events/2020-geneva/program,True,True,False,False,True
